content,score
Taek emng ini game . Satu team yg ngerusak gua yg kena kurang creditnya. Harusnya tuh di banned aj akun akun yg ngerusakin pemain lain .,1
"Ternyata ini game, game kontol buat depresi masak 4 x match lawannya gk seimbang terus memang peek",1
"Yang bener lah ngasih tim gak jelas, menang kalah menang kalah gitu aja terus sampai mobile legend jadk motor legend",1
Sangat bagus sekali,5
Mobilegenfas bangbang tapi cantiya 1 layla,5
"Tim bot, musuh player, adil katanya😂 Apalagi pas queue, ada aja orang yang ga pencet masuk, kayak nya harus ada gitu fitur ngeforce masuk kalau udah pencet mulai, biar gak mengacaukan pengalaman orang",1
Gem nya seru,5
bagud,5
"Game ini bagus dan mantap,tapi harus sabar kadang menang kadang kalah udh mitik glori Tabi turun sisen",5
Bagus,5
"Game penipu gua uda gacha 200+ di skin turret, seharusnya uda dapat donk di 200 kali gacha, game penipu, uda di kasih dm malah diambil lagi",1
Apaan dah masa udah mythic dapat tim gak bisa main berasa main sendiri mendingan ciptain rank 1vs1 aja gausah 5vs5 kalo ujung ujungnya 1vs5 4nya ai Harap di bagusin dikit pas draft dan disesuaikan,1
Dark sistem yang punya adil lahhh asu,1
Sitnyal ada jaringan kuat tapi ketika war Napa jaringan saya selalu merah dan kuning tolong lah tindak lanjut kan atas nma putra1993,3
game banyak darenk sistem,5
"Gamenya bagus,tapi tolong player rasis diban selama-lama nya",5
"Min gimana sih update yang kali ini bukannya makin bagus malah makin rusak. Masa pas aku mau login setelah muncul logo mlbb malah layar hpku hitam terus gak ada loading seperti biasanya. Saya harap secepatnya diperbaiki permasalahan ini soalnya ada event diamond kuning.sayang bangetkan kalo ketinggalan, iventnya juga munculnya 2 kali dalam setahun. Sekian dari saya semoga di respon terima kasih🙏",3
habis update terbaru malah gabisa dibuka tolong perbaiki kembali,1
"Sistemnya seolah memaksa agar orang selalu bermain tanpa henti, pembagian tim sering tidak seimbang terutama untuk player solo.",1
bagus,5
BAGUS TAPI GRAFIK NY CUMAN BISA RENDAH,4
Game nya habis di-update jelekk bngtttttbsampe nyesel download mobile legend masalahnya di loading nya itu lama bngtt hampir 1 jam nanti baru 70 nunggu 1 % nya 1 jam sendiri nyesel download ak,1
"Semua sudah sip, hanya saja untuk masalah hukuman terlalu ringan, sehingga tidak menimbulkan efek jera, malah di lakukan lagi dan lagi, Terutama untuk kasus rasis, ntah kenapa org2 suka sekali mengolok2an jawa. Padahal dianya tinggal di jawa barat 🤣 lol.",3
Game tolol ketemu tim low tier gabisa main Musuh nya high tier game broken,1
Geme nya koyok kontoll dan burikkk,1
bintang 1 binatang,1
Lu hilangin lah player yg main nya kayak ketek dajal unyuk,1
Woi montoon kata lu yang joki di ban mana yang lu ban yang exglory doang,3
NONTON BABI,1
Dark sistem ga ngotak rate -100/10,1
"Gua mulai suka cuman perhati kan lagi min dari awal main gua di bacot d, caci 2 lah pas gua balas malah gua yang kena hukuman napa tu adil dongg??",5
We game kontoll Lo niat gasih kasih permainan Lo mati aja gak guna juga idup loo,1
monton goblok anjing bangsat kontol asu ngentot reneo mahku ra wedi aku gua udah kalah 8 kali masih ga di kasih menang juga🤬,1
"Maaf ya bintang dua, karena nih ya monton gw kan pakek wifi dirumah tapi kok sinyal ny aneh bet kadang hijau kadang merah ngeselin banget kalo lagi main mohon bantuan nya ya!!!",2
Ngasih tim bener lah,1
Bapak monton ada 5 monton tolol monton ngtot ama ff,1
Ml anjing ml kontol ml babi ml memek kacuk,1
Lawan nya gk seimbang apalagi pas solo rank trus spinanya udah abis ribuan dm gk dpt²,1
tambah lag,1
MONTON DI EWE OLEH GARENA DAN GILANG OJOL SAMPAI ANAK 30 KEMBAR SEMOGA KALIAN BAHAGIA DENGAN MEMBUAT ANAK HARAM KEK MONYETTTTT MONTON: AH YAMETEHHH,5
"game gak jelas,ngasih tim gak bener giliran musuhnya pro semua pantes aja rating nya 3.6 game nya aja kaya gini",1
Bg ml ini lihat gw main ml lag beget ajg,1
"Kenapasi lostreq mulu di epik padahal gw udah pake yang,ada seorang tim pro.tapi malah truuuuussss defet tolong di seimbangkan!...",3
Gw kasih 2 bintang karena dapat tim beban terus aku gendong terus susah juga ml aku gendong 😒,2
Kami sudah melakukan pencarian lirik dari kemarin le syg eee syg bgt gan ada yg MW terima Kasih Tuhan yang mau dijadikan budak nafsu di mana ni ine uang yang mau di mana ni ine sya ada di sni setiap kali nelf tdk ada komentar untuk artikel di mana ni ine sya mau tarik tambang emas Di Tangan Salsha sera ke Mbay Oelamasi di dunia ini yang mau beli tambah gede di mana ni syg ku ❤️ ada di sni itu adalah di antara kita dan sya ada yang mau beli hp android di bawah ini sya baru yang mau di mana skrg i,1
aku suka banget main ml asik soal nya😄,5
Game babi,1
Kenapa gw ketemu tim beban!! Tapi musuh jago monton waras ga sih,1
